Age,Mortality female,Mortality male,sex ratio,Total Eggs,Egg Weight,Feed female,Feed male,Hatching Eggs,total hatched eggs
26,5,2,10.29,6850,53.2,133,130,6405,3343.41
26.1,2,2,10.3,7630,53.4,133,130,7145,3729.69
26.2,2,1,10.312,8130,53.5,136,130,7630,3982.86
26.3,3,0,10.318,8540,53.6,136,130,7990,4170.78
26.4,2,0,10.316,9560,53.7,136,130,8915,4653.63
26.5,3,0,10.315,9490,53.8,140,130,8880,4635.36
26.6,3,1,10.313,9780,54,140,130,9180,4791.96
27,2,2,10.317,10450,54.1,140,130,9826,6317.135
27.1,2,2,10.329,10800,54.3,144,130,10110,6499.719
27.2,5,2,10.342,10860,54.5,144,130,10170,6538.293
27.3,4,2,10.352,11140,54.7,144,130,10400,6686.16
27.4,6,2,10.363,11550,54.9,148,130,10850,6975.465
27.5,6,0,10.372,12020,55.1,148,130,11320,7277.628
27.6,4,0,10.368,11540,55.2,148,130,10750,6911.175
28,5,0,10.366,11995,55.3,148,130,11230,8371.965
28.1,4,1,10.363,12230,55.5,148,130,11485,8562.068
28.2,3,1,10.367,12200,55.6,148,130,11436,8525.538
28.3,4,0,10.371,12850,55.8,153.5,130,12000,8946
28.4,5,2,10.369,13290,56,153.5,130,12400,9244.2
28.5,4,0,10.379,13040,56.1,153.5,130,12220,9110.01
28.6,58,75,10.377,13110,56.2,157,130,12197,9092.864
29,67,1,10.339,12540,56.3,157,130,11700,8764.47
29.1,32,0,10.287,12260,56.4,157,130,11500,8614.65
29.2,8,2,10.247,12310,56.2,160,130,11600,8689.56
29.3,6,1,10.255,12310,56.4,160,130,11600,8689.56
29.4,5,0,10.258,12520,56.4,160,130,11800,8839.38
29.5,6,1,10.255,12660,56.5,160,130,11900,8914.29
29.6,6,3,10.257,13010,56.6,164,130,12280,9198.948
30,5,2,10.274,12850,56.6,164,130,12090,9765.093
30.1,5,0,10.284,12820,56.7,168,130,12000,9692.4
30.2,6,1,10.281,12890,56.7,168,130,12100,9773.17
30.3,4,2,10.283,12840,56.8,168,130,12040,9724.708
30.4,4,2,10.294,13300,56.8,168,130,12500,10096.25
30.5,5,2,10.305,13260,56.9,168,130,12500,10096.25
30.6,4,1,10.316,13080,56.9,168,130,12295,9930.672
31,4,0,10.32,13260,57.1,168,130,12500,10096.25
31.1,4,1,10.317,13080,57.4,168,130,12350,9975.095
31.2,6,0,10.321,13300,57.6,168,130,12550,10136.635
31.3,5,2,10.317,13310,57.8,168,130,12500,10096.25
31.4,3,1,10.328,13180,58,168,130,12410,10023.557
31.5,4,1,10.332,13030,58.1,168,130,12300,9934.71
31.6,4,0,10.337,13350,58.3,168,130,12600,10177.02
32,4,2,10.334,13280,58.4,168,130,12550,10929.569
32.1,3,2,10.345,13350,58.6,168,130,12550,10929.569
32.2,3,0,10.348,13400,58.7,168,130,12695,11055.847
32.3,4,2,10.348,13120,59,168,130,12450,10842.481
32.4,4,0,10.352,13270,59.2,168,130,12600,10973.113
32.5,4,2,10.35,13480,59.4,168,130,12800,11147.29
32.6,5,0,10.361,13410,59.6,168,130,12700,11060.201
33,5,2,10.357,13400,59.8,168,130,12800,11112.96
33.1,4,2,10.368,13200,60,168,130,12600,10939.32
33.2,6,2,10.379,12490,60.1,168,130,12280,10661.496
33.3,3,2,10.389,13310,60.1,168,130,12670,11000.094
33.4,4,2,10.401,13350,60.2,168,130,12730,11052.186
33.5,3,0,10.412,13130,60.2,168,130,12520,10869.864
33.6,4,1,10.41,13310,60.3,168,130,12674,11003.567
34,4,1,10.414,13040,60.3,168,130,12381,10773.946
34.1,5,2,10.419,13150,60.6,168,130,12845,11177.719
34.2,3,1,10.429,13200,60.6,168,130,12630,10990.626
34.3,3,1,10.434,13160,60.8,168,130,12610,10973.222
34.4,3,1,10.439,12900,60.8,168,130,12340,10738.268
34.5,2,2,10.444,13260,60.8,168,130,12690,11042.838
34.6,2,2,10.457,13270,60.9,168,130,12700,11051.54
35,4,0,10.47,12590,61,168,130,12025,10485.8
35.1,6,2,10.467,12990,61.1,168,130,12430,10838.96
35.2,4,2,10.457,12800,61.2,168,130,12225,10660.2
35.3,11,2,10.469,12870,61.3,168,130,12260,10690.72
35.4,17,1,10.476,13090,61.4,166,130,12510,10908.72
35.5,11,2,10.471,13100,61.6,166,130,12540,10934.88
35.6,12,2,10.478,12600,61.8,166,130,12031,10491.032
36,8,2,10.484,13070,61.8,166,130,12500,10850
36.1,10,2,10.493,12740,61.8,166,130,12200,10589.6
36.2,10,2,10.5,12720,61.9,166,130,12140,10537.52
36.3,11,2,10.508,12650,62,166,130,12080,10485.44
36.4,11,2,10.515,12680,62.1,166,130,12140,10537.52
36.5,8,1,10.514,12340,62.2,166,130,11850,10285.8
36.6,6,0,10.523,12470,62.3,166,130,11940,10363.92
37,8,4,10.519,12590,62.6,166,130,12050,10543.75
37.1,6,1,10.543,12980,63,166,130,12503,10940.125
37.2,6,3,10.546,12440,63.1,166,130,11945,10451.875
37.3,5,0,10.563,12600,63.1,166,130,12090,10578.75
37.4,4,2,10.56,12870,63.3,166,130,12400,10850
37.5,6,0,10.572,12350,63.4,166,130,11850,10368.75
37.6,4,0,10.568,12590,63.5,166,130,12090,10578.75
38,4,0,10.565,12510,63.6,166,130,11950,10396.5
38.1,2,3,10.562,12630,63.6,164,130,12120,10544.4
38.2,4,2,10.583,12470,63.6,164,130,11910,10361.7
38.3,3,2,10.594,12000,63.7,164,130,12000,10440
38.4,3,1,10.607,12140,63.8,164,130,12140,10561.8
38.5,4,1,10.612,12040,63.9,164,130,12040,10474.8
38.6,6,0,10.617,11800,64,164,130,11800,10266
39,5,0,10.613,12000,64,164,130,12000,10440
39.1,4,2,10.609,12200,64.1,164,130,11700,10179
39.2,4,1,10.621,12250,64.1,164,130,11720,10196.4
